Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15,Untitled 16,Untitled 17,Untitled 18
2.476685,0.001034,0.000001,2.476685,0.062732,2.623917,2.814326,0.00111,0.000001,2.814326,-0.112483,2.972818,7.429181,0.002211,0.002211,8.444063,0.001296,0.001296,1
2.476787,0.001128,0.000001,2.476788,-0.015008,2.703408,2.814292,0.001124,0.000001,2.814293,-0.024019,3.111387,7.429589,0.002646,0.002646,8.44238,0.002115,0.002115,1
2.476691,0.001167,0.000001,2.476691,0.075838,3.223608,2.814376,0.001113,0.000001,2.814377,-0.135859,2.867663,7.427269,0.001214,0.001214,8.446941,0.001223,0.001223,1
2.476714,0.001247,0.000002,2.476714,0.217801,2.900402,2.814315,0.001149,0.000001,2.814316,-0.012992,2.634643,7.431126,0.001384,0.001384,8.443088,0.003206,0.003206,1
2.476669,0.001271,0.000002,2.476669,0.14036,3.042528,2.814334,0.00119,0.000001,2.814335,0.083431,2.725049,7.432717,0.002003,0.002003,8.442612,0.002771,0.002771,1
2.476735,0.001199,0.000001,2.476735,0.071597,2.555277,2.814293,0.001135,0.000001,2.814293,-0.006256,3.559729,7.430058,0.00154,0.00154,8.439126,0.001325,0.001325,1
2.476706,0.001247,0.000002,2.476707,0.261497,3.3262,2.81428,0.001133,0.000001,2.81428,0.212875,3.339029,7.429224,0.002793,0.002793,8.441991,0.005532,0.005532,1
2.476656,0.001313,0.000002,2.476657,0.174242,2.690892,2.814322,0.001192,0.000001,2.814322,0.126645,2.99033,7.429322,0.001432,0.001432,8.443022,0.001934,0.001934,1
2.476622,0.001399,0.000002,2.476622,0.028307,2.847716,2.814311,0.001205,0.000001,2.814312,0.109403,2.98398,7.431579,0.003232,0.003232,8.445638,0.002822,0.002822,1
2.47672,0.00139,0.000002,2.47672,0.059474,2.896523,2.814213,0.001198,0.000001,2.814214,0.311288,3.699795,7.428026,0.001423,0.001423,8.441599,0.003792,0.003792,1
2.476606,0.00158,0.000002,2.476606,-0.062869,2.510795,2.814247,0.00117,0.000001,2.814248,0.051567,3.070917,7.431091,0.00185,0.00185,8.442078,0.001734,0.001734,1
2.476628,0.001676,0.000003,2.476629,-0.036175,2.451452,2.814336,0.001204,0.000001,2.814337,0.191977,2.943943,7.43077,0.003896,0.003896,8.440953,0.001337,0.001337,1
2.476738,0.001526,0.000002,2.476738,-0.002988,2.601618,2.814239,0.001228,0.000002,2.814239,0.10336,3.04365,7.431868,0.002851,0.002851,8.441989,0.001872,0.001872,1
2.476591,0.001207,0.000001,2.476591,-0.082949,2.943032,2.814289,0.001232,0.000002,2.814289,-0.011006,2.900663,7.432931,0.000756,0.000756,8.443052,0.003344,0.003344,1
2.47667,0.001236,0.000002,2.47667,0.094027,3.032082,2.814287,0.001091,0.000001,2.814287,0.173214,3.091818,7.431517,0.000867,0.000867,8.442467,0.000522,0.000522,1
2.476719,0.00121,0.000001,2.476719,-0.255114,2.763196,2.814289,0.001168,0.000001,2.81429,0.073762,2.881644,7.430734,0.000306,0.000306,8.443218,0.001158,0.001158,1
2.476707,0.001324,0.000002,2.476707,-0.012768,2.913951,2.814277,0.001164,0.000001,2.814277,-0.130924,2.999564,7.432333,0.003187,0.003187,8.442266,0.00183,0.00183,1
2.476702,0.001392,0.000002,2.476703,-0.304503,3.711032,2.814222,0.001269,0.000002,2.814223,-0.100589,3.047575,7.431571,0.001348,0.001348,8.439462,0.002359,0.002359,1
2.476595,0.001843,0.000003,2.476596,-0.181833,2.900897,2.814306,0.001668,0.000003,2.814307,0.057265,2.579681,7.427108,0.004052,0.004052,8.444424,0.00168,0.00168,1
